DS,NG CONS EGAT,NG CONS GSP,NG CONS IPP,NG CONS Industry,NG CONS NGV,NG CONS SPP,NG PRD Domestic,NG PRD Import,POWGEN DEDP,POWGEN EGAT,POWGEN IPP,POWGEN Import,POWGEN SPP,POWGEN VSPP
2009-11-30,1163.0,607.0,949.0,432.0,159.0,442.0,3099.0,943.0,1.122,5608.314,5171.543,336.00699999999995,1155.703,0.0
2009-10-31,1109.0,574.0,1053.0,434.0,154.0,438.0,3017.0,974.0,1.689,5820.524,5854.993,273.762,1161.962,0.0
2009-09-30,1100.0,605.0,1073.0,420.0,151.0,444.0,3040.0,933.0,1.042,5355.145,6039.656999999999,205.877,1148.998,0.0
2010-04-30,1264.0,563.0,1027.0,450.0,165.0,444.0,3377.0,903.0,3.705,6115.736,5876.205,741.429,1170.348,124.324302
2010-08-31,1374.0,745.0,902.0,492.0,181.0,437.0,3563.0,849.0,3.03,6268.1359999999995,5549.607,768.5010000000001,1152.6019999999999,67.056404
2010-12-31,1331.0,767.0,847.0,498.0,210.0,434.0,3562.0,822.0,0.757,6475.8859999999995,4709.848,423.471,1228.464,116.65965800000001
2010-02-28,1196.0,520.0,1087.0,473.0,171.0,435.0,3267.0,978.0,1.722,5654.417,5702.456,143.127,1095.524,117.107326
2010-01-31,1043.0,597.0,919.0,428.0,154.0,434.0,3191.0,764.0,1.527,5579.9969999999985,5554.422,164.141,1263.4769999999999,130.794354
2010-07-31,1356.0,673.0,996.0,472.0,179.0,416.0,3431.0,902.0,2.307,5988.348999999998,6372.144,801.08,1050.5910000000001,78.81189
2010-06-30,1459.0,552.0,1053.0,488.0,181.0,434.0,3677.0,869.0,1.486,6078.115,6275.379,789.052,1090.4180000000001,89.558276
2010-03-31,1491.0,573.0,761.0,499.0,176.0,434.0,3636.0,675.0,3.838,7190.119000000002,5466.863,568.3330000000001,1267.2930000000001,136.545348
2010-05-31,1377.0,552.0,1070.0,464.0,167.0,445.0,3458.0,933.0,1.537,6564.354,6360.425,791.993,1153.9589999999998,114.035126
2010-11-30,1427.0,682.0,826.0,491.0,204.0,445.0,3619.0,789.0,0.47200000000000003,6397.0920000000015,4866.906,486.98800000000006,1165.968,61.308659
2010-10-31,1419.0,837.0,893.0,472.0,193.0,464.0,3668.0,847.0,1.105,6355.347000000002,5350.088000000001,795.422,1139.271,61.986059
2010-09-30,1403.0,749.0,955.0,506.0,190.0,454.0,3603.0,921.0,2.153,6076.529,5691.644,780.247,1092.894,62.321709999999996
2011-04-30,1089.0,932.0,911.0,562.0,215.0,468.0,3670.0,867.0,3.3569999999999998,5746.051,5317.576,1019.115,1258.0410000000002,156.819494
2011-08-31,1154.0,784.0,1004.0,601.0,248.0,475.0,3401.0,1228.0,3.2569999999999997,6457.863,5963.611,792.654,1257.462,125.90489199999999
2011-12-31,1099.0,907.0,715.0,568.0,243.0,402.0,3660.0,620.0,0.0,5918.272,4638.504,464.959,1222.394,191.19101899999998
2011-02-28,1341.0,840.0,752.0,501.0,230.0,471.0,3759.0,791.0,1.7309999999999999,6397.768999999998,4416.78,638.013,1104.25,145.34905600000002
2011-01-31,1176.0,859.0,697.0,485.0,207.0,466.0,3676.0,621.0,1.3840000000000001,6287.291,4590.693,412.365,1312.23,157.425881
2011-07-31,1087.0,756.0,955.0,591.0,242.0,472.0,3218.0,1177.0,1.151,6012.47,5788.590999999999,1315.3429999999998,1311.079,146.567141
2011-06-30,1171.0,812.0,1013.0,605.0,246.0,496.0,3651.0,1194.0,1.077,6041.183000000001,5914.475,1072.215,1212.035,161.52364
2011-03-31,1202.0,972.0,893.0,576.0,231.0,486.0,3885.0,837.0,3.4539999999999997,6341.263999999999,5391.255,789.541,1333.7220000000002,173.024251
2011-05-31,1239.0,897.0,980.0,570.0,238.0,478.0,3785.0,1045.0,1.1540000000000001,6413.757,5838.578,1075.411,1291.4769999999999,169.844341
2011-11-30,1100.0,871.0,793.0,563.0,197.0,421.0,3444.0,836.0,0.0,5713.603999999998,4600.85,909.586,1227.588,120.127571
2011-10-31,1013.0,803.0,782.0,581.0,222.0,437.0,3278.0,831.0,8.562000000000001,6144.4619999999995,4877.191,1164.634,1212.447,100.76525699999999
2011-09-30,1113.0,975.0,888.0,627.0,248.0,477.0,3508.0,1082.0,8.562000000000001,6498.89,5287.863,1120.573,1193.472,98.235231
2012-04-30,1299.0,933.0,729.0,631.0,260.0,405.0,3865.0,570.0,0.0,6901.614000000001,5457.063,1135.509,1221.191,223.359015
2012-08-31,1214.0,994.0,1009.0,642.0,283.0,410.0,4037.0,971.0,0.0,6482.2469999999985,6110.548000000001,1114.621,1288.728,187.08308799999998
