ds,y
2017-05-01,10732.8529
2017-11-01,10145.42127
2017-10-01,10401.19734
2017-09-01,10706.09781
2018-04-01,9425.509463
2018-08-01,9562.586434
2018-12-01,9222.755196
2018-02-01,8382.736516
2018-01-01,8922.589161
2018-07-01,9891.722103
2018-06-01,10169.64173
2018-03-01,10428.74663
2018-05-01,10359.9274
2018-11-01,10332.74909
2018-10-01,10112.57309
2018-09-01,9453.639272
