YEAR_PRD,MONTH_PRD,FUELTYPE,QTY
1990,AUG,Hydro Electricity,413.36
1990,AUG,Fuel Oil,1017.24
1990,AUG,Coal & Lignite,921.94
1990,AUG,Natural Gas,1464.95
1990,AUG,Diesel,34.05
1990,AUG,Imported,64.41
1990,AUG,Renewable Energy,3.89
1990,DEC,Hydro Electricity,266.12
1990,DEC,Fuel Oil,908.39
1990,DEC,Coal & Lignite,962.84
1990,DEC,Natural Gas,1426.79
1990,DEC,Diesel,30.04
1990,DEC,Imported,60.21
1990,DEC,Renewable Energy,0.86
1990,FEB,Hydro Electricity,397.38
1990,FEB,Fuel Oil,781.93
1990,FEB,Coal & Lignite,714.83
1990,FEB,Natural Gas,1363.23
1990,FEB,Diesel,13.95
1990,FEB,Imported,51.83
1990,FEB,Renewable Energy,0.95
1990,JAN,Hydro Electricity,317
1990,JAN,Fuel Oil,643.61
1990,JAN,Coal & Lignite,856.46
1990,JAN,Natural Gas,1508.3
1990,JAN,Diesel,16.19
1990,JAN,Imported,67.57
1990,JAN,Renewable Energy,1.01
1990,JUL,Hydro Electricity,369.89
1990,JUL,Fuel Oil,980.33
1990,JUL,Coal & Lignite,913.81
1990,JUL,Natural Gas,1439.4
1990,JUL,Diesel,43.49
1990,JUL,Imported,56.34
1990,JUL,Renewable Energy,3.87
1990,JUN,Hydro Electricity,373.01
1990,JUN,Fuel Oil,884.11
1990,JUN,Coal & Lignite,1010.32
1990,JUN,Natural Gas,1470.7
1990,JUN,Diesel,33.69
1990,JUN,Imported,48.59
1990,JUN,Renewable Energy,3.16
1990,MAR,Hydro Electricity,575.93
1990,MAR,Fuel Oil,772.41
1990,MAR,Coal & Lignite,821.44
1990,MAR,Natural Gas,1568.29
1990,MAR,Diesel,17.25
1990,MAR,Imported,48.2
1990,MAR,Renewable Energy,1.38
1990,MAY,Hydro Electricity,444.34
1990,MAY,Fuel Oil,829.17
1990,MAY,Coal & Lignite,945.47
1990,MAY,Natural Gas,1597.16
1990,MAY,Diesel,26.15
1990,MAY,Imported,32.66
1990,MAY,Renewable Energy,2.44
1990,NOV,Hydro Electricity,390.6
1990,NOV,Fuel Oil,784.6
1990,NOV,Coal & Lignite,987.8
1990,NOV,Natural Gas,1515.03
1990,NOV,Diesel,27.48
1990,NOV,Imported,56.41
1990,NOV,Renewable Energy,1.37
1990,OCT,Hydro Electricity,423.62
1990,OCT,Fuel Oil,818.86
1990,OCT,Coal & Lignite,1079.32
1990,OCT,Natural Gas,1426.84
1990,OCT,Diesel,53.44
1990,OCT,Imported,65.95
1990,OCT,Renewable Energy,1.71
1990,SEP,Hydro Electricity,438.74
1990,SEP,Fuel Oil,853.58
1990,SEP,Coal & Lignite,888.9
1990,SEP,Natural Gas,1513.7
1990,SEP,Diesel,41.44
1990,SEP,Imported,60.39
1990,SEP,Renewable Energy,2.86
1991,APR,Hydro Electricity,420.96
1991,APR,Fuel Oil,1023.43
1991,APR,Coal & Lignite,994.83
1991,APR,Natural Gas,1641.54
1991,APR,Diesel,13.65
1991,APR,Imported,55.24
1991,APR,Renewable Energy,3.56
1991,AUG,Hydro Electricity,410.1
1991,AUG,Fuel Oil,1126.44
1991,AUG,Coal & Lignite,1743.68
1991,AUG,Natural Gas,994.92
1991,AUG,Diesel,0.54
1991,AUG,Imported,85.75
1991,AUG,Renewable Energy,1.09
1991,DEC,Hydro Electricity,329.81
1991,DEC,Fuel Oil,1228.11
1991,DEC,Coal & Lignite,1232.51
1991,DEC,Natural Gas,1347.62
1991,DEC,Diesel,2.57
1991,DEC,Imported,25
1991,DEC,Renewable Energy,2.08
1991,FEB,Hydro Electricity,332.91
1991,FEB,Fuel Oil,816.13
1991,FEB,Coal & Lignite,908.8
1991,FEB,Natural Gas,1428.92
1991,FEB,Diesel,9.49
1991,FEB,Imported,42.69
1991,FEB,Renewable Energy,1.09
1991,JAN,Hydro Electricity,383.46
1991,JAN,Fuel Oil,983.85
1991,JAN,Coal & Lignite,1025.72
1991,JAN,Natural Gas,1495.83
1991,JAN,Diesel,33.26
1991,JAN,Imported,40.98
1991,JAN,Renewable Energy,0.84
1991,JUL,Hydro Electricity,276.64
1991,JUL,Fuel Oil,1086.16
1991,JUL,Coal & Lignite,1190.82
1991,JUL,Natural Gas,1795.7
1991,JUL,Diesel,2.46
1991,JUL,Imported,69.66
1991,JUL,Renewable Energy,1.2
1991,JUN,Hydro Electricity,231.26
1991,JUN,Fuel Oil,882.96
1991,JUN,Coal & Lignite,1166.19
1991,JUN,Natural Gas,1933.54
1991,JUN,Diesel,14.72
1991,JUN,Imported,40.22
1991,JUN,Renewable Energy,3.02
1991,MAR,Hydro Electricity,463.44
1991,MAR,Fuel Oil,1044.46
1991,MAR,Coal & Lignite,1030.34
1991,MAR,Natural Gas,1797.33
1991,MAR,Diesel,12
1991,MAR,Imported,41.99
1991,MAR,Renewable Energy,1.43
1991,MAY,Hydro Electricity,307.44
1991,MAY,Fuel Oil,1078.68
1991,MAY,Coal & Lignite,1128.88
1991,MAY,Natural Gas,1898.31
1991,MAY,Diesel,17.62
1991,MAY,Imported,35.24
1991,MAY,Renewable Energy,1.97
1991,NOV,Hydro Electricity,456.49
1991,NOV,Fuel Oil,1030.93
1991,NOV,Coal & Lignite,1166.32
1991,NOV,Natural Gas,1467.22
1991,NOV,Diesel,3.59
1991,NOV,Imported,49.49
1991,NOV,Renewable Energy,3.1
1991,OCT,Hydro Electricity,405.94
1991,OCT,Fuel Oil,1213.62
1991,OCT,Coal & Lignite,1153.05
1991,OCT,Natural Gas,1601.55
1991,OCT,Diesel,0.58
1991,OCT,Imported,50.27
1991,OCT,Renewable Energy,6.84
1991,SEP,Hydro Electricity,486.9
1991,SEP,Fuel Oil,1121.62
1991,SEP,Coal & Lignite,1044.08
1991,SEP,Natural Gas,1648.71
1991,SEP,Diesel,2.09
1991,SEP,Imported,56.58
1991,SEP,Renewable Energy,3.43
1992,APR,Hydro Electricity,475.98
1992,APR,Fuel Oil,1420.89
1992,APR,Coal & Lignite,1238.02
1992,APR,Natural Gas,1723.41
1992,APR,Diesel,2.48
1992,APR,Imported,29.11
1992,APR,Renewable Energy,2.03
1992,AUG,Hydro Electricity,206.71
1992,AUG,Fuel Oil,1174.85
1992,AUG,Coal & Lignite,1376.16
1992,AUG,Natural Gas,2127.24
1992,AUG,Diesel,16.92
1992,AUG,Imported,75.4
1992,AUG,Renewable Energy,0.7
