YEAR_PRD,MONTH_PRD,FUEL_SOURCE,QTY
1996,JAN,DEDP,0.621
1996,JAN,SPP,74.847
1996,JAN,IPP,670.057
1996,JUL,EGAT,6312.934999999999
1996,JUL,IMPORTED,64.617
1996,JUL,DEDP,1.917
1996,JUL,SPP,100.137
1996,JUL,IPP,1171.038
1996,JUN,EGAT,6462.625000000001
1996,JUN,IMPORTED,54.63
1996,JUN,DEDP,2.105
1996,JUN,SPP,91.733
1996,JUN,IPP,811.812
1996,MAR,EGAT,6779.135
1996,MAR,IMPORTED,35.377
1996,MAR,DEDP,1.989
1996,MAR,SPP,75.103
1996,MAR,IPP,759.339
1996,MAY,EGAT,6828.194
1996,MAY,IMPORTED,38.915
1996,MAY,DEDP,1.868
1996,MAY,SPP,90.13
1996,MAY,IPP,726.537
1996,NOV,EGAT,6147.598
1996,NOV,IMPORTED,81.433
1996,NOV,DEDP,0.753
1996,NOV,SPP,143.358
1996,NOV,IPP,955.26
1996,OCT,EGAT,6289.536
1996,OCT,IMPORTED,113.679
1996,OCT,DEDP,2.393
1996,OCT,SPP,139.449
1996,OCT,IPP,1125.421
1996,SEP,EGAT,6137.161999999999
1996,SEP,IMPORTED,114.069
1996,SEP,DEDP,4.091
1996,SEP,SPP,105.433
1996,SEP,IPP,1031.334
1997,APR,EGAT,6312.161999999999
1997,APR,IMPORTED,43.659
1997,APR,DEDP,1.907
1997,APR,SPP,174.897
1997,APR,IPP,1124.582
1997,AUG,EGAT,6469.097
1997,AUG,IMPORTED,99.792
1997,AUG,DEDP,8.156
1997,AUG,SPP,169.492
1997,AUG,IPP,1293.993
1997,DEC,EGAT,5858.398
1997,DEC,IMPORTED,51.865
1997,DEC,DEDP,0.629
1997,DEC,SPP,223.444
1997,DEC,IPP,1193.129
1997,FEB,EGAT,5781.334000000001
1997,FEB,IMPORTED,40.476
1997,FEB,DEDP,1.108
1997,FEB,SPP,146.006
1997,FEB,IPP,1018.521
1997,JAN,EGAT,5795.009999999999
1997,JAN,IMPORTED,45.756
1997,JAN,DEDP,1.245
1997,JAN,SPP,165.085
1997,JAN,IPP,1132.288
1997,JUL,EGAT,6703.785
1997,JUL,IMPORTED,69.28
1997,JUL,DEDP,1.714
1997,JUL,SPP,168.217
1997,JUL,IPP,1244.427
1997,JUN,EGAT,6930.075000000001
1997,JUN,IMPORTED,42.257
1997,JUN,DEDP,1.34
1997,JUN,SPP,170.311
1997,JUN,IPP,1179.848
1997,MAR,EGAT,6857.684
1997,MAR,IMPORTED,32.406
1997,MAR,DEDP,1.682
1997,MAR,SPP,168.064
1997,MAR,IPP,1235.992
1997,MAY,EGAT,7126.357999999999
1997,MAY,IMPORTED,44.016
1997,MAY,DEDP,1.938
1997,MAY,SPP,185.772
1997,MAY,IPP,1186.838
1997,NOV,EGAT,5873.219
1997,NOV,IMPORTED,66.286
1997,NOV,DEDP,0.656
1997,NOV,SPP,191.314
1997,NOV,IPP,1211.39
1997,OCT,EGAT,6357.567000000001
1997,OCT,IMPORTED,105.172
1997,OCT,DEDP,2.32
1997,OCT,SPP,197.292
1997,OCT,IPP,1185.09
1997,SEP,EGAT,6263.892
1997,SEP,IMPORTED,104.663
1997,SEP,DEDP,4.49
1997,SEP,SPP,191.001
1997,SEP,IPP,1148.518
1998,APR,EGAT,6340.649
1998,APR,IMPORTED,92.214
1998,APR,DEDP,1.418
1998,APR,SPP,234.571
1998,APR,IPP,1157.959
1998,AUG,EGAT,6157.045000000001
1998,AUG,IMPORTED,151.91
1998,AUG,DEDP,2.258
1998,AUG,SPP,231.216
1998,AUG,IPP,1099.256
1998,DEC,EGAT,5447.518999999999
1998,DEC,IMPORTED,140.71
1998,DEC,DEDP,0.743
1998,DEC,SPP,310.682
1998,DEC,IPP,942.269
1998,FEB,EGAT,5789.829
1998,FEB,IMPORTED,102.902
1998,FEB,DEDP,0.87
1998,FEB,SPP,223.01
1998,FEB,IPP,1104.667
1998,JAN,EGAT,5675.8730000000005
1998,JAN,IMPORTED,71.987
1998,JAN,DEDP,0.967
1998,JAN,SPP,240.598
1998,JAN,IPP,1237.717
1998,JUL,EGAT,6271.161
1998,JUL,IMPORTED,197.53
1998,JUL,DEDP,1.544
1998,JUL,SPP,243.05
1998,JUL,IPP,1099.905
1998,JUN,EGAT,6317.456999999999
1998,JUN,IMPORTED,181.123
1998,JUN,DEDP,1.407
1998,JUN,SPP,229.219
1998,JUN,IPP,1122.347
1998,MAR,EGAT,6764.629000000001
1998,MAR,IMPORTED,87.181
1998,MAR,DEDP,1.522
1998,MAR,SPP,243.702
1998,MAR,IPP,1234.638
1998,MAY,EGAT,6691.544999999999
1998,MAY,IMPORTED,101.403
1998,MAY,DEDP,1.329
1998,MAY,SPP,259.396
1998,MAY,IPP,1190.193
1998,NOV,EGAT,5573.116000000001
1998,NOV,IMPORTED,130.025
1998,NOV,DEDP,0.626
1998,NOV,SPP,337.882
1998,NOV,IPP,1063.311
1998,OCT,EGAT,5935.298
1998,OCT,IMPORTED,174.336
1998,OCT,DEDP,0.791
1998,OCT,SPP,327.987
1998,OCT,IPP,1152.293
1998,SEP,EGAT,5826.71
1998,SEP,IMPORTED,191.391
1998,SEP,DEDP,1.132
1998,SEP,SPP,310.533
1998,SEP,IPP,1131.172
1999,APR,EGAT,5615.339000000001
1999,APR,IMPORTED,76.946
1999,APR,DEDP,1.896
