YEAR_PRD,MONTH_PRD,SECTOR,SUBSECTOR,QTY
1999,SEP,Electricity,SPP,305
1999,SEP,GSP,GSP,181
1999,SEP,Industry,Industry,143
1999,OCT,Electricity,EGAT,1205
1999,OCT,Electricity,IPP,7
1999,OCT,Electricity,SPP,300
1999,OCT,GSP,GSP,180
1999,OCT,Industry,Industry,142
1999,NOV,Electricity,EGAT,1215
1999,NOV,Electricity,IPP,4
1999,NOV,Electricity,SPP,289
1999,NOV,GSP,GSP,180
1999,NOV,Industry,Industry,141
1999,DEC,Electricity,EGAT,1087
1999,DEC,Electricity,IPP,18
1999,DEC,Electricity,SPP,281
1999,DEC,GSP,GSP,174
1999,DEC,Industry,Industry,147
2000,JAN,Electricity,EGAT,1179
2000,JAN,Electricity,IPP,36
2000,JAN,Electricity,SPP,284
2000,JAN,GSP,GSP,178
2000,JAN,Industry,Industry,132
2000,FEB,Electricity,EGAT,1225
2000,FEB,Electricity,IPP,9
2000,FEB,Electricity,SPP,295
2000,FEB,GSP,GSP,171
2000,FEB,Industry,Industry,160
2000,MAR,Electricity,EGAT,1209
2000,MAR,Electricity,IPP,7
2000,MAR,Electricity,SPP,303
2000,MAR,GSP,GSP,173
2000,MAR,Industry,Industry,140
2000,APR,Electricity,EGAT,1098
2000,APR,Electricity,IPP,16
2000,APR,Electricity,SPP,283
2000,APR,GSP,GSP,177
2000,APR,Industry,Industry,156
2000,MAY,Electricity,EGAT,1295
2000,MAY,Electricity,IPP,41
2000,MAY,Electricity,SPP,296
2000,MAY,GSP,GSP,181
2000,MAY,Industry,Industry,161
2000,JUN,Electricity,EGAT,1320
2000,JUN,Electricity,IPP,60
2000,JUN,Electricity,SPP,301
2000,JUN,GSP,GSP,179
2000,JUN,Industry,Industry,180
2000,JUL,Electricity,EGAT,1294
2000,JUL,Electricity,IPP,93
2000,JUL,Electricity,SPP,289
2000,JUL,GSP,GSP,178
2000,JUL,Industry,Industry,186
2000,AUG,Electricity,EGAT,1199
2000,AUG,Electricity,IPP,165
2000,AUG,Electricity,SPP,309
2000,AUG,GSP,GSP,116
2000,AUG,Industry,Industry,177
2000,SEP,Electricity,EGAT,1230
2000,SEP,Electricity,IPP,132
2000,SEP,Electricity,SPP,308
2000,SEP,GSP,GSP,175
2000,SEP,Industry,Industry,199
2000,OCT,Electricity,EGAT,1273
2000,OCT,Electricity,IPP,129
2000,OCT,Electricity,SPP,337
2000,OCT,GSP,GSP,192
2000,OCT,Industry,Industry,205
2000,NOV,Electricity,EGAT,1262
2000,NOV,Electricity,IPP,81
2000,NOV,Electricity,SPP,337
2000,NOV,GSP,GSP,193
2000,NOV,Industry,Industry,264
2000,DEC,Electricity,EGAT,1342
2000,DEC,Electricity,IPP,80
2000,DEC,Electricity,SPP,318
2000,DEC,GSP,GSP,189
2000,DEC,Industry,Industry,214
2001,JAN,Electricity,EGAT,960
2001,JAN,Electricity,IPP,316
2001,JAN,Electricity,SPP,332
2001,JAN,GSP,GSP,319
2001,JAN,Industry,Industry,164
2001,FEB,Electricity,EGAT,1002
2001,FEB,Electricity,IPP,368
2001,FEB,Electricity,SPP,339
2001,FEB,GSP,GSP,323
2001,FEB,Industry,Industry,155
2001,MAR,Electricity,EGAT,1072
2001,MAR,Electricity,IPP,381
2001,MAR,Electricity,SPP,342
2001,MAR,GSP,GSP,329
2001,MAR,Industry,Industry,169
2001,APR,Electricity,EGAT,1191
2001,APR,Electricity,IPP,409
2001,APR,Electricity,SPP,330
2001,APR,GSP,GSP,332
2001,APR,Industry,Industry,168
2001,MAY,Electricity,EGAT,1212
2001,MAY,Electricity,IPP,334
2001,MAY,Electricity,SPP,334
2001,MAY,GSP,GSP,349
2001,MAY,Industry,Industry,178
2001,JUN,Electricity,EGAT,1239
2001,JUN,Electricity,IPP,302
2001,JUN,Electricity,SPP,341
2001,JUN,GSP,GSP,341
2001,JUN,Industry,Industry,178
2001,JUL,Electricity,EGAT,1112
2001,JUL,Electricity,IPP,410
2001,JUL,Electricity,SPP,333
2001,JUL,GSP,GSP,350
2001,JUL,Industry,Industry,182
2001,AUG,Electricity,EGAT,1093
2001,AUG,Electricity,IPP,345
2001,AUG,Electricity,SPP,365
2001,AUG,GSP,GSP,322
2001,AUG,Industry,Industry,194
2001,SEP,Electricity,EGAT,1028
2001,SEP,Electricity,IPP,398
2001,SEP,Electricity,SPP,369
2001,SEP,GSP,GSP,341
2001,SEP,Industry,Industry,179
2001,OCT,Electricity,EGAT,1054
2001,OCT,Electricity,IPP,374
2001,OCT,Electricity,SPP,374
2001,OCT,GSP,GSP,370
2001,OCT,Industry,Industry,201
2001,NOV,Electricity,EGAT,1026
2001,NOV,Electricity,IPP,284
2001,NOV,Electricity,SPP,368
2001,NOV,GSP,GSP,348
2001,NOV,Industry,Industry,193
2001,DEC,Electricity,EGAT,843
2001,DEC,Electricity,IPP,395
2001,DEC,Electricity,SPP,364
2001,DEC,GSP,GSP,355
2001,DEC,Industry,Industry,159
2002,JAN,Electricity,EGAT,957
2002,JAN,Electricity,IPP,370
2002,JAN,Electricity,SPP,359
2002,JAN,GSP,GSP,306
2002,JAN,Industry,Industry,187
2002,FEB,Electricity,EGAT,1171
2002,FEB,Electricity,IPP,312
2002,FEB,Electricity,SPP,359
2002,FEB,GSP,GSP,341
2002,FEB,Industry,Industry,192
2002,MAR,Electricity,EGAT,1300
2002,MAR,Electricity,IPP,299
2002,MAR,Electricity,SPP,374
